"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.568146811E1,6.518675143E1,2.532181476E1,-8.792394835E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.668229295E1,6.518675286E1,2.532181565E1,-7.623576876E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.768147529E1,6.518675496E1,2.532181632E1,-7.395924897E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.868192206E1,6.518675605E1,2.532181572E1,-6.370541100E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.968168628E1,6.518675611E1,2.532181598E1,-6.041561342E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.068233649E1,6.518675652E1,2.532181581E1,-5.951231757E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.168149321E1,6.518675662E1,2.532181557E1,-5.433654663E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.268176836E1,6.518675656E1,2.532181578E1,-5.243834564E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.368149524E1,6.518675670E1,2.532181556E1,-4.853210754E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.468161097E1,6.518675678E1,2.532181564E1,-4.757996140E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.568174081E1,6.518675688E1,2.532181574E1,-4.693299161E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.668140967E1,6.518675704E1,2.532181583E1,-4.670106413E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.768141675E1,6.518675709E1,2.532181576E1,-4.570619515E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.868172159E1,6.518675715E1,2.532181569E1,-4.551699073E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
5.968149878E1,6.518675716E1,2.532181563E1,-4.520571326E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.068223956E1,6.518675716E1,2.532181551E1,-4.480288386E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.168161206E1,6.518675719E1,2.532181550E1,-4.254458481E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.268173951E1,6.518675722E1,2.532181554E1,-4.139102100E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.368229742E1,6.518675727E1,2.532181552E1,-4.071963725E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.468195466E1,6.518675726E1,2.532181550E1,-3.852237156E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.568206763E1,6.518675733E1,2.532181550E1,-3.648380088E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.668225555E1,6.518675739E1,2.532181538E1,-3.477482217E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.768197701E1,6.518675746E1,2.532181533E1,-3.299870376E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.868234768E1,6.518675753E1,2.532181539E1,-3.097844231E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.968150128E1,6.518675753E1,2.532181528E1,-3.011174550E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.068221643E1,6.518675752E1,2.532181505E1,-3.020330277E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.168173945E1,6.518675745E1,2.532181478E1,-3.030706491E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.268219633E1,6.518675741E1,2.532181457E1,-2.904974327E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.368175164E1,6.518675734E1,2.532181425E1,-2.926336979E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.468179117E1,6.518675732E1,2.532181400E1,-2.752997582E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.568173445E1,6.518675726E1,2.532181390E1,-2.778021911E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.668218679E1,6.518675722E1,2.532181378E1,-2.727362792E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.768226664E1,6.518675722E1,2.532181376E1,-2.609564985E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.868173075E1,6.518675724E1,2.532181365E1,-2.586371967E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.968150460E1,6.518675722E1,2.532181367E1,-2.704780026E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.068203059E1,6.518675725E1,2.532181366E1,-2.669379809E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.168229289E1,6.518675727E1,2.532181357E1,-2.544868388E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.268185335E1,6.518675732E1,2.532181742E1,-6.154479346E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.368203325E1,6.518675805E1,2.532181751E1,-5.047915458E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.468164330E1,6.518675714E1,2.532181496E1,-3.929142029E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
